Vol A 	Vol B 	Vol C 	Ang A 	Ang B 	Ang C 	
0.989898	0.992990	0.986356	-0.605789	-2.694678	1.485063	
0.989939	0.993393	0.986430	-0.605567	-2.694142	1.485688	
0.000000	0.000000	0.980441	0.000000	0.000000	1.486149	
0.989249	0.991904	0.985658	-0.606317	-2.695429	1.484188	
0.989872	0.992919	0.986323	-0.605818	-2.694737	1.484989	
0.989917	0.993374	0.986410	-0.605575	-2.694151	1.485683	
0.989886	0.993390	0.986304	-0.605532	-2.694015	1.485776	
0.994241	0.999647	0.991570	-0.596433	-2.685949	1.496710	
0.992212	0.000000	0.987919	-0.603808	0.000000	1.489774	
0.991590	0.995748	0.991602	-0.588064	-2.682857	1.501686	
0.986824	0.000000	0.000000	-0.605162	0.000000	0.000000	
0.990228	0.993878	0.986725	-0.605193	-2.693552	1.486302	
0.990274	0.994996	0.986722	-0.604703	-2.692168	1.487796	
0.987007	0.000000	0.000000	-0.605178	0.000000	0.000000	
0.982240	0.984561	0.980854	-0.578785	-2.676015	1.506071	
0.986481	0.000000	0.983672	-0.604870	0.000000	1.488372	
0.990354	0.995033	0.986728	-0.604731	-2.692142	1.487746	
0.994624	0.999598	0.991924	-0.595305	-2.685122	1.498045	
0.990483	0.995041	0.986798	-0.604681	-2.692093	1.487735	
0.989002	0.993000	0.989678	-0.584512	-2.681522	1.488295	
0.000000	0.000000	0.981993	0.000000	0.000000	1.486801	
0.990619	0.994801	0.986816	-0.604948	-2.692530	1.487085	
0.987687	0.995389	0.983965	-0.604983	-2.691077	1.488142	
0.000000	0.000000	0.980137	0.000000	0.000000	1.486025	
0.990294	0.995010	0.986733	-0.604702	-2.692158	1.487796	
0.983026	0.986299	0.983668	-0.579334	-2.677502	1.505534	
0.989889	0.993344	0.986384	-0.605586	-2.694166	1.485679	
0.989824	0.992686	0.986248	-0.605928	-2.694989	1.484689	
0.990849	0.996758	0.986917	-0.604744	-2.690628	1.488736	
0.993707	0.998524	0.990093	-0.600184	-2.687832	1.492739	
0.994491	0.999628	0.992169	-0.594962	-2.685308	1.497878	
0.000000	0.000000	0.980013	0.000000	0.000000	1.485981	
0.990529	0.994550	0.986826	-0.604971	-2.692792	1.486908	
0.986539	0.994954	0.983708	-0.604829	-2.691131	1.488350	
0.989939	0.993232	0.986412	-0.605663	-2.694373	1.485412	
0.993952	0.998226	0.989693	-0.602172	-2.688688	1.489408	
0.992344	0.000000	0.000000	-0.603512	0.000000	0.000000	
0.992837	0.997356	0.992548	-0.589957	-2.683970	1.500691	
0.985651	0.000000	0.000000	-0.604863	0.000000	0.000000	
0.000000	0.000000	0.980817	0.000000	0.000000	1.486310	
0.000000	0.000000	0.981995	0.000000	0.000000	1.486800	
0.989900	0.992992	0.986358	-0.605793	-2.694682	1.485059	
0.990352	0.995055	0.986754	-0.604722	-2.692135	1.487776	
0.989356	0.995646	0.984245	-0.605137	-2.690953	1.487874	
0.986536	0.000000	0.000000	-0.605133	0.000000	0.000000	
0.000000	0.000000	0.983496	0.000000	0.000000	1.487380	
0.990135	0.000000	0.000000	-0.604973	0.000000	0.000000	
0.989872	0.992916	0.986322	-0.605820	-2.694740	1.484985	
0.989968	0.993374	0.986451	-0.605594	-2.694207	1.485607	
0.989890	0.992982	0.986344	-0.605783	-2.694668	1.485066	
0.993860	0.998849	0.990520	-0.599095	-2.687286	1.493892	
0.992111	0.000000	0.000000	-0.603976	0.000000	0.000000	
0.993860	0.998849	0.990520	-0.599095	-2.687286	1.493892	
0.989830	0.993304	0.986203	-0.605530	-2.694008	1.485768	
0.989906	0.993076	0.986369	-0.605739	-2.694556	1.485200	
0.000000	0.000000	0.989693	0.000000	0.000000	1.488369	
0.989867	0.992901	0.986312	-0.605831	-2.694748	1.484976	
0.990336	0.995043	0.986749	-0.604717	-2.692141	1.487782	
0.000000	0.000000	0.980155	0.000000	0.000000	1.486015	
0.000000	0.992978	0.000000	0.000000	-2.694676	0.000000	
0.993665	0.998277	0.989758	-0.601256	-2.688346	1.491420	
0.989895	0.992988	0.986353	-0.605787	-2.694675	1.485065	
0.990477	0.995037	0.986797	-0.604680	-2.692097	1.487736	
0.990916	0.995753	0.986518	-0.604923	-2.691415	1.487739	
0.990940	0.994962	0.991217	-0.587107	-2.682532	1.502085	
0.989205	0.991858	0.985614	-0.606336	-2.695446	1.484169	
0.990033	0.993632	0.986571	-0.605413	-2.693876	1.485999	
0.989989	0.993578	0.986511	-0.605431	-2.693890	1.485972	
0.000000	0.000000	0.981274	0.000000	0.000000	1.486502	
0.000000	0.000000	0.980136	0.000000	0.000000	1.486004	
0.984542	0.988303	0.985221	-0.580820	-2.678676	1.505054	
0.986714	0.995095	0.983709	-0.604875	-2.691122	1.488319	
0.989896	0.992988	0.986354	-0.605788	-2.694676	1.485065	
0.991044	0.995930	0.986448	-0.604975	-2.691246	1.487732	
0.989821	0.992642	0.986242	-0.605924	-2.695034	1.484638	
0.988686	0.992688	0.989683	-0.584257	-2.681340	1.503539	
0.989411	0.992118	0.985832	-0.606217	-2.695317	1.484327	
0.987069	0.993000	0.990005	-0.605134	-2.681530	1.503430	
0.993219	0.998045	0.989216	-0.601928	-2.688799	1.491156	
0.989479	0.992217	0.985909	-0.606171	-2.695266	1.484389	
0.994051	1.000381	0.991926	-0.595550	-2.686524	1.497683	
0.993774	0.998298	0.989765	-0.601542	-2.688458	1.490890	
0.990246	0.994973	0.986707	-0.604701	-2.692179	1.487798	
0.993946	0.998220	0.989687	-0.602173	-2.688688	1.489408	
0.989956	0.993409	0.986444	-0.605566	-2.694140	1.485689	
0.991178	0.996003	0.986691	-0.604864	-2.691235	1.487843	
0.986643	0.000000	0.000000	-0.605138	0.000000	0.000000	
0.990148	0.000000	0.000000	-0.604972	0.000000	0.000000	
0.981686	0.983950	0.980120	-0.578507	-2.675714	1.506246	
0.993686	0.998224	0.992615	-0.591819	-2.684285	1.499672	
0.990085	0.994131	0.990677	-0.585972	-2.682076	1.502702	
0.990399	0.993931	0.986844	-0.604991	-2.693215	1.486565	
0.000000	0.995078	0.000000	0.000000	-2.691122	0.000000	
0.989810	0.992622	0.986226	-0.605933	-2.695039	1.484632	
0.989911	0.993368	0.986404	-0.605575	-2.694152	1.485684	
0.992114	0.000000	0.000000	-0.603964	0.000000	0.000000	
0.000000	0.000000	0.980393	0.000000	0.000000	1.486131	
0.990332	0.995015	0.986715	-0.604733	-2.692153	1.487744	
0.994806	0.999654	0.991856	-0.595663	-2.685076	1.498070	
0.989010	0.992998	0.989657	-0.584515	-2.681514	1.488255	
